day_index,hub_name,resource_type,resource_demand_units,resource_capacity_units,contributing_routes,resource_capacity_note,utilization,shortage_units,resource_status,scenic_peak_load,scenic_overload_persons
4,吐鲁番市,coach_bus,99.7245,961.3333,Q4V2_R006;Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.1037,0.0,green,,
4,吐鲁番市,licensed_guide,111.6244,1351.875,Q4V2_R006;Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0826,0.0,green,,
4,吐鲁番市,scenic_shuttle_or_parking,68.187,865.2,Q4V2_R006;Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0788,0.0,green,,
4,达坂城镇,licensed_guide,14.5464,199.5625,Q4V2_R005;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0729,0.0,green,,
4,达坂城镇,scenic_shuttle_or_parking,8.4854,127.72,Q4V2_R005;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0664,0.0,green,,
4,库车市,coach_bus,28.1974,526.4444,Q4V2_R029;Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0536,0.0,green,,
4,库车市,licensed_guide,38.2679,740.3125,Q4V2_R029;Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0517,0.0,green,,
4,库车市,scenic_shuttle_or_parking,23.8111,473.8,Q4V2_R029;Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0503,0.0,green,,
4,霍城县(惠远古城),coach_bus,10.5045,263.2222,Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0399,0.0,green,,
4,塔什库尔干县(帕米尔高原),coach_bus,7.8,224.3111,Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0348,0.0,green,,
