route_id,trial,scenario,spots_count,scheduled_days,active_hours,over_budget_days,time_window_violations,limited_lodging_nights,hotel_full_nights,reservation_failures,transport_delay_events,severe_transport_events,crowd_penalty,total_proxy_cost_yuan,route_feasible
HYBRID_30D_ACO_ALNS_SA,164,normal_weekday,32,29,203.804,5,0,0,1,1,0,0,0.0,14540.43,False
HYBRID_30D_ACO_ALNS_SA,165,adverse_weather,32,36,272.133,11,0,1,5,2,6,0,0.0,17470.86,False
HYBRID_30D_ACO_ALNS_SA,166,normal_weekday,32,30,208.48,5,1,0,0,1,1,0,0.0,14508.53,False
HYBRID_30D_ACO_ALNS_SA,167,adverse_weather,32,35,250.56,13,0,1,0,2,5,0,0.0,16292.94,False
HYBRID_30D_ACO_ALNS_SA,168,normal_weekday,32,31,207.8,4,2,1,0,0,4,0,0.0,14788.53,False
HYBRID_30D_ACO_ALNS_SA,169,summer_peak,32,31,225.225,6,0,0,3,1,2,0,0.0,15849.72,False
HYBRID_30D_ACO_ALNS_SA,170,summer_peak,32,31,225.388,6,0,0,5,2,0,0,0.0,16203.71,False
HYBRID_30D_ACO_ALNS_SA,171,normal_weekday,32,29,197.82,3,0,0,0,0,2,0,0.0,14318.53,True
HYBRID_30D_ACO_ALNS_SA,172,normal_weekday,32,32,206.459,2,0,0,1,1,4,0,0.0,14980.97,False
HYBRID_30D_ACO_ALNS_SA,173,normal_weekday,32,29,206.454,6,0,0,1,0,4,0,0.0,14449.1,False
HYBRID_30D_ACO_ALNS_SA,174,normal_weekday,32,30,207.731,6,1,1,1,0,5,0,0.0,14741.92,False
HYBRID_30D_ACO_ALNS_SA,175,adverse_weather,32,38,271.898,12,0,1,2,0,8,0,0.0,17300.8,False
HYBRID_30D_ACO_ALNS_SA,176,normal_weekday,32,31,203.1,4,0,0,0,1,1,0,0.0,14698.53,False
HYBRID_30D_ACO_ALNS_SA,177,holiday_peak,32,32,244.561,10,0,1,7,6,1,0,0.672,18055.09,False
HYBRID_30D_ACO_ALNS_SA,178,holiday_peak,32,34,247.073,9,0,0,3,3,2,0,0.672,17253.69,False
HYBRID_30D_ACO_ALNS_SA,179,summer_peak,32,32,222.141,6,0,1,3,1,3,0,0.0,16156.98,False
HYBRID_30D_ACO_ALNS_SA,180,normal_weekday,32,32,204.47,3,1,0,0,1,1,0,0.0,14888.53,False
HYBRID_30D_ACO_ALNS_SA,181,summer_peak,32,32,213.516,4,1,0,3,2,0,0,0.0,15973.85,False
HYBRID_30D_ACO_ALNS_SA,182,normal_weekday,32,30,197.96,5,0,0,0,0,2,0,0.0,14548.53,False
HYBRID_30D_ACO_ALNS_SA,183,summer_peak,32,32,229.554,9,0,0,2,2,2,0,0.0,15829.75,False
HYBRID_30D_ACO_ALNS_SA,184,road_closure,32,38,287.13,14,0,1,0,0,4,0,0.0,16691.87,False
HYBRID_30D_ACO_ALNS_SA,185,normal_weekday,32,29,206.06,7,0,0,0,1,2,0,0.0,14208.53,False
HYBRID_30D_ACO_ALNS_SA,186,summer_peak,32,33,220.152,4,0,0,5,1,0,0,0.0,16811.13,False
HYBRID_30D_ACO_ALNS_SA,187,normal_weekday,32,30,203.238,5,0,1,1,1,2,0,0.0,14791.05,False
HYBRID_30D_ACO_ALNS_SA,188,normal_weekday,32,29,199.191,6,0,0,1,1,1,0,0.0,14546.88,False
HYBRID_30D_ACO_ALNS_SA,189,normal_weekday,32,30,211.774,4,0,0,1,1,3,0,0.0,14627.07,False
HYBRID_30D_ACO_ALNS_SA,190,summer_peak,32,32,231.246,6,1,0,5,3,3,0,0.0,16118.26,False
HYBRID_30D_ACO_ALNS_SA,191,normal_weekday,32,30,209.17,5,0,0,0,0,1,0,0.0,14498.53,False
HYBRID_30D_ACO_ALNS_SA,192,summer_peak,32,31,218.598,7,0,0,3,3,4,0,0.0,15852.55,False
HYBRID_30D_ACO_ALNS_SA,193,normal_weekday,32,31,203.92,4,0,0,0,0,3,0,0.0,14578.53,True
HYBRID_30D_ACO_ALNS_SA,194,normal_weekday,32,32,204.71,2,0,0,0,1,4,0,0.0,14948.53,False
HYBRID_30D_ACO_ALNS_SA,195,summer_peak,32,31,213.145,6,0,0,1,0,1,0,0.0,15571.32,False
HYBRID_30D_ACO_ALNS_SA,196,normal_weekday,32,32,208.841,4,1,0,2,0,4,0,0.0,15068.7,False
HYBRID_30D_ACO_ALNS_SA,197,normal_weekday,32,31,205.67,4,1,0,0,1,2,0,0.0,14678.53,False
HYBRID_30D_ACO_ALNS_SA,198,normal_weekday,32,31,208.591,2,0,0,2,1,2,0,0.0,14986.01,False
HYBRID_30D_ACO_ALNS_SA,199,normal_weekday,32,30,203.98,4,1,0,0,0,2,0,0.0,14538.53,False
HYBRID_30D_ACO_ALNS_SA,200,normal_weekday,32,30,202.08,4,1,0,0,1,2,0,0.0,14398.53,False
