iteration,operator,move,temperature,accepted,candidate_objective,current_objective,best_objective,candidate_spots,best_spots,candidate_days,candidate_over_budget_days,candidate_time_window_violations,candidate_limited_lodging_nights
85,long_arc_removal,swap,3860.1019,False,1572.671,245443.738,257523.04,30,32,32,2,0,2
86,lodging_pressure_removal,reorder,3836.9413,False,220676.729,245443.738,257523.04,31,32,30,5,0,3
87,random_removal,none,3813.9197,True,245444.799,245444.799,257523.04,30,32,30,2,0,2
88,worst_removal,reorder,3791.0362,False,239818.186,245444.799,257523.04,29,32,30,4,0,2
89,worst_removal,swap,3768.2899,False,-19561.706,245444.799,257523.04,30,32,32,5,0,2
90,random_removal,reorder,3745.6802,False,218030.598,257523.04,257523.04,30,32,30,4,0,3
91,random_removal,two_opt,3723.2061,False,53852.159,257523.04,257523.04,27,32,29,5,1,2
92,worst_removal,two_opt,3700.8669,False,254290.574,257523.04,257523.04,31,32,30,3,0,0
93,long_arc_removal,reorder,3678.6617,False,250072.811,257523.04,257523.04,32,32,29,7,0,1
94,worst_removal,two_opt,3656.5897,False,-949.486,257523.04,257523.04,32,32,32,7,0,0
95,lodging_pressure_removal,reorder,3634.6502,False,250122.899,257523.04,257523.04,32,32,29,7,0,1
96,lodging_pressure_removal,reorder,3612.8423,False,250122.899,257523.04,257523.04,32,32,29,7,0,1
97,random_removal,reorder,3591.1652,False,239479.849,257523.04,257523.04,30,32,28,7,0,1
98,worst_removal,reorder,3569.6182,False,246014.462,257523.04,257523.04,30,32,30,5,0,1
99,lodging_pressure_removal,two_opt,3548.2005,True,257523.04,257523.04,257523.04,32,32,30,3,0,0
100,long_arc_removal,swap,3526.9113,False,7579.108,257523.04,257523.04,32,32,32,5,0,0
101,lodging_pressure_removal,two_opt,3505.7498,False,-113229.604,257523.04,257523.04,32,32,33,6,0,0
102,worst_removal,reorder,3484.7153,False,233619.678,257523.04,257523.04,27,32,27,5,0,1
103,lodging_pressure_removal,swap,3463.8071,True,257514.731,257514.731,257523.04,32,32,30,3,0,0
104,lodging_pressure_removal,swap,3443.0242,False,-247238.9,257514.731,257523.04,32,32,34,7,0,2
105,lodging_pressure_removal,two_opt,3422.3661,True,255863.024,255863.024,257523.04,32,32,30,3,0,1
106,worst_removal,swap,3401.8319,False,-244909.524,255863.024,257523.04,29,32,34,3,0,1
107,long_arc_removal,reorder,3381.4209,False,248505.265,255863.024,257523.04,32,32,29,7,0,2
108,worst_removal,two_opt,3361.1324,False,64501.695,255863.024,257523.04,27,32,30,4,1,2
109,long_arc_removal,reorder,3340.9656,False,246497.653,255863.024,257523.04,31,32,29,6,0,2
110,random_removal,none,3320.9198,True,255863.024,255863.024,257523.04,32,32,30,3,0,1
111,long_arc_removal,two_opt,3300.9942,False,-122544.222,255863.024,257523.04,30,32,33,5,0,2
112,lodging_pressure_removal,swap,3281.1883,False,-363557.213,255863.024,257523.04,32,32,35,7,0,1
113,region_removal,none,3261.5012,True,255778.622,255778.622,257523.04,32,32,30,3,0,1
114,random_removal,two_opt,3241.9321,False,-117080.387,255778.622,257523.04,32,32,33,4,0,2
115,random_removal,none,3222.4806,False,242539.485,255778.622,257523.04,30,32,28,5,0,1
116,random_removal,swap,3203.1457,False,-112499.597,255778.622,257523.04,32,32,33,4,0,1
117,lodging_pressure_removal,reorder,3183.9268,False,248505.265,255778.622,257523.04,32,32,29,7,0,2
118,lodging_pressure_removal,swap,3164.8232,False,-247889.982,255778.622,257523.04,32,32,34,7,0,2
119,worst_removal,reorder,3145.8343,False,241918.057,255778.622,257523.04,30,32,28,7,0,2
120,worst_removal,reorder,3126.9593,False,241436.577,255778.622,257523.04,29,32,28,4,0,2
121,region_removal,reorder,3108.1975,False,249993.98,255778.622,257523.04,32,32,29,7,0,1
122,long_arc_removal,swap,3089.5483,False,-360453.253,255778.622,257523.04,31,32,35,5,0,1
123,lodging_pressure_removal,none,3071.0111,True,257397.313,257397.313,257523.04,32,32,30,3,0,0
124,long_arc_removal,two_opt,3052.585,False,101303.27,257397.313,257523.04,27,32,31,5,0,2
125,random_removal,swap,3034.2695,False,-120338.841,257397.313,257523.04,31,32,33,6,0,1
