from_spot_id,from_spot_name,from_lng,from_lat,to_spot_id,to_spot_name,to_lng,to_lat,amap_origin_id,amap_dest_batch_index,driving_distance_km,driving_duration_hours,driving_duration_minutes,source_id
P037,和田博物馆,79.927167,37.091873,P013,吐峪沟麻扎村,89.69288,42.856627,37,13,1352.944,17.42,1045.2,AMAP_DISTANCE_API
P038,尼雅遗址,82.721398,37.977215,P013,吐峪沟麻扎村,89.69288,42.856627,38,13,1062.644,14.811,888.7,AMAP_DISTANCE_API
P039,千里葡萄长廊,79.833641,37.127514,P013,吐峪沟麻扎村,89.69288,42.856627,39,13,1354.341,17.477,1048.6,AMAP_DISTANCE_API
P040,奥依塔克冰川,75.340867,38.941664,P013,吐峪沟麻扎村,89.69288,42.856627,40,13,1506.565,17.628,1057.7,AMAP_DISTANCE_API
P001,天山天池,88.067381,44.102919,P014,霍城薰衣草花田,80.917837,44.294346,1,14,649.422,7.202,432.1,AMAP_DISTANCE_API
P002,达坂城古镇,88.338318,43.326289,P014,霍城薰衣草花田,80.917837,44.294346,2,14,699.913,7.664,459.9,AMAP_DISTANCE_API
P003,火焰山,89.513296,42.918783,P014,霍城薰衣草花田,80.917837,44.294346,3,14,821.168,9.312,558.7,AMAP_DISTANCE_API
P004,葡萄沟,89.24417,43.000687,P014,霍城薰衣草花田,80.917837,44.294346,4,14,799.51,8.974,538.4,AMAP_DISTANCE_API
P005,坎儿井民俗园,89.148541,42.95264,P014,霍城薰衣草花田,80.917837,44.294346,5,14,795.936,8.995,539.7,AMAP_DISTANCE_API
P006,交河故城,89.065435,42.953881,P014,霍城薰衣草花田,80.917837,44.294346,6,14,803.763,9.229,553.8,AMAP_DISTANCE_API
P007,楼兰古城,75.993543,39.463205,P014,霍城薰衣草花田,80.917837,44.294346,7,14,1352.33,16.823,1009.4,AMAP_DISTANCE_API
P008,赛里木湖,81.386542,44.617077,P014,霍城薰衣草花田,80.917837,44.294346,8,14,67.334,1.155,69.3,AMAP_DISTANCE_API
P009,那拉提草原,84.020007,43.266978,P014,霍城薰衣草花田,80.917837,44.294346,9,14,333.469,4.296,257.8,AMAP_DISTANCE_API
P010,喀拉峻大草原,82.088099,43.065713,P014,霍城薰衣草花田,80.917837,44.294346,10,14,238.871,3.446,206.7,AMAP_DISTANCE_API
P011,高昌故城,89.528941,42.852645,P014,霍城薰衣草花田,80.917837,44.294346,11,14,831.559,9.651,579.1,AMAP_DISTANCE_API
P012,苏公塔,89.206429,42.935833,P014,霍城薰衣草花田,80.917837,44.294346,12,14,801.411,9.057,543.4,AMAP_DISTANCE_API
P013,吐峪沟麻扎村,89.69288,42.856627,P014,霍城薰衣草花田,80.917837,44.294346,13,14,840.341,9.633,578.0,AMAP_DISTANCE_API
P014,霍城薰衣草花田,80.917837,44.294346,P014,霍城薰衣草花田,80.917837,44.294346,14,14,0.001,0.0,0.0,AMAP_DISTANCE_API
P015,昭苏草原,81.422775,42.842975,P014,霍城薰衣草花田,80.917837,44.294346,15,14,277.406,5.55,333.0,AMAP_DISTANCE_API
P016,夏塔古道,80.668138,42.597704,P014,霍城薰衣草花田,80.917837,44.294346,16,14,346.38,4.739,284.4,AMAP_DISTANCE_API
P017,果子沟大桥,81.140191,44.475984,P014,霍城薰衣草花田,80.917837,44.294346,17,14,103.702,1.571,94.2,AMAP_DISTANCE_API
P018,喀纳斯湖,87.055797,48.82663,P014,霍城薰衣草花田,80.917837,44.294346,18,14,990.231,12.438,746.3,AMAP_DISTANCE_API
P019,禾木村,87.452753,48.576964,P014,霍城薰衣草花田,80.917837,44.294346,19,14,973.295,11.865,711.9,AMAP_DISTANCE_API
P020,白哈巴村,86.783604,48.699657,P014,霍城薰衣草花田,80.917837,44.294346,20,14,961.142,11.717,703.0,AMAP_DISTANCE_API
P021,可可托海,89.884211,47.222081,P014,霍城薰衣草花田,80.917837,44.294346,21,14,1065.113,12.225,733.5,AMAP_DISTANCE_API
P022,五彩滩,86.680702,47.837537,P014,霍城薰衣草花田,80.917837,44.294346,22,14,841.685,9.548,572.9,AMAP_DISTANCE_API
P023,世界魔鬼城,85.733205,46.135149,P014,霍城薰衣草花田,80.917837,44.294346,23,14,606.84,6.979,418.8,AMAP_DISTANCE_API
P024,喀什古城,75.994657,39.475323,P014,霍城薰衣草花田,80.917837,44.294346,24,14,1351.07,16.789,1007.4,AMAP_DISTANCE_API
P025,艾提尕尔清真寺,75.987867,39.472577,P014,霍城薰衣草花田,80.917837,44.294346,25,14,1350.45,16.759,1005.5,AMAP_DISTANCE_API
P026,香妃园,76.026973,39.488614,P014,霍城薰衣草花田,80.917837,44.294346,26,14,1349.886,16.679,1000.8,AMAP_DISTANCE_API
P027,帕米尔高原白沙湖,75.049369,38.443069,P014,霍城薰衣草花田,80.917837,44.294346,27,14,1534.652,19.493,1169.6,AMAP_DISTANCE_API
P028,石头城遗址,75.234894,37.78213,P014,霍城薰衣草花田,80.917837,44.294346,28,14,1634.599,20.924,1255.4,AMAP_DISTANCE_API
P029,天山神秘大峡谷,83.065893,42.122058,P014,霍城薰衣草花田,80.917837,44.294346,29,14,597.385,8.748,524.9,AMAP_DISTANCE_API
P030,库车王府,82.920907,41.718795,P014,霍城薰衣草花田,80.917837,44.294346,30,14,659.707,9.876,592.5,AMAP_DISTANCE_API
P031,克孜尔石窟,82.506888,41.779043,P014,霍城薰衣草花田,80.917837,44.294346,31,14,677.706,10.057,603.4,AMAP_DISTANCE_API
