route_id,active_or_transfer_days,planned_trip_days,buffer_days,red_days,yellow_days,green_days,long_transfer_days,late_hotel_days,max_day_active_hours,mean_day_active_hours,mean_comfort_score,p10_comfort_score,time_window_violations,late_after_hard_end_violations,schedule_soft_feasible,schedule_strict_feasible,schedule_feasible,scheduler_note
Q1V3_Q24_165,22,30,8,6,5,19,4,1,11.752,7.094,81.701,58.944,1,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_196,25,30,5,4,5,21,5,0,11.752,6.599,85.915,64.722,1,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_195,26,30,4,2,8,20,4,1,23.972,7.002,85.847,73.03,0,1,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_207,28,30,2,5,7,18,7,0,11.441,6.249,87.584,67.384,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_206,28,30,2,4,10,16,7,0,11.441,6.394,87.03,72.544,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_175,29,30,1,3,9,18,6,2,13.0,6.791,84.428,67.128,2,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_174,30,30,0,3,11,16,7,2,13.0,6.724,84.806,73.9,2,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_167,26,30,4,3,6,21,5,0,11.956,6.618,86.358,73.0,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_179,28,30,2,3,7,20,7,0,11.752,6.242,87.803,74.43,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_166,24,30,6,3,5,22,5,0,11.036,7.227,84.991,74.439,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_215,28,30,2,4,6,20,7,1,12.278,6.21,87.522,70.331,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_214,27,30,3,4,8,18,6,0,11.55,6.454,86.92,69.408,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_169,28,30,2,3,6,21,7,0,11.752,6.251,87.594,74.43,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_168,28,30,2,4,7,19,6,0,11.55,6.326,87.156,69.556,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
