plan_id,simulation_samples,operational_success_probability,strict_comfort_success_probability,expected_intra_transport_cost,p95_intra_transport_cost,expected_max_year_days,p95_max_year_days,expected_loss,cvar75_loss,cvar90_loss,break_even_external_premium,open_gateway_cheaper_probability,simulation_note
Q2V3_025_ROOTED_URUMQI,500,1.0,0.0,4692.46,5377.02,20.688,23.0,362.083,640.887,786.315,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_029_ROOTED_URUMQI,500,1.0,0.0,4721.39,5382.8,20.558,23.0,367.452,657.888,797.652,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_066_ROOTED_URUMQI,500,1.0,0.934,4671.09,5326.7,19.536,22.0,359.729,658.184,817.215,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_046_ROOTED_URUMQI,500,0.996,0.0,4679.53,5346.9,20.562,23.05,521.128,838.264,1028.506,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_027_ROOTED_URUMQI,500,0.998,0.0,4687.86,5343.27,20.538,23.0,358.204,641.585,793.321,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_040_ROOTED_URUMQI,500,0.998,0.0,4724.46,5425.67,18.436,21.0,366.778,659.371,805.745,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_084_ROOTED_URUMQI,500,1.0,0.0,4900.23,5587.86,22.774,26.0,379.906,699.886,876.958,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_062_ROOTED_URUMQI,500,0.998,0.0,4939.02,5629.31,22.692,26.0,520.965,799.821,942.211,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_034_ROOTED_URUMQI,500,1.0,0.0,4952.49,5613.75,19.432,22.0,350.363,646.647,798.722,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_050_ROOTED_URUMQI,500,0.998,0.0,5014.04,5728.8,20.494,23.0,523.315,837.712,997.494,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_072_ROOTED_URUMQI,500,0.998,0.0,5085.16,5768.3,20.628,23.0,367.606,663.407,811.62,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_086_ROOTED_URUMQI,500,0.99,0.0,5291.92,6020.3,23.818,27.0,709.834,1017.087,1163.372,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_054_ROOTED_URUMQI,500,0.932,0.0,5285.16,6023.8,20.508,23.0,845.954,1136.634,1265.416,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_032_ROOTED_URUMQI,500,0.99,0.0,5510.93,6267.94,23.716,27.0,694.482,998.981,1160.62,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_008_OPEN_GATEWAY,500,0.998,0.94,3085.79,3489.26,18.41,21.0,567.631,1074.425,1338.132,797.75,0.232,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_004_OPEN_GATEWAY,500,1.0,0.992,3373.64,3854.31,18.474,21.0,504.669,1014.879,1246.524,515.65,0.114,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_007_ROOTED_URUMQI,500,0.998,0.0,3987.38,4545.8,19.624,22.0,348.97,629.646,768.162,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_003_ROOTED_URUMQI,500,1.0,0.0,4017.36,4583.88,19.616,22.0,356.173,633.786,776.147,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
